Departures_from_Ranuj/RUJ Ahmedabad_Sardar_Patel_Airport/AMD:_46_km
Departures_from_Dhinoj/DHJ Ahmedabad_Sardar_Patel_Airport/AMD:_30_km
Departures_from_Panchot/PHC Ahmedabad_Sardar_Patel_Airport/AMD:_20_km
Departures_from_Kaiyal_Sedhavi/KYSD Ahmedabad_Sardar_Patel_Airport/AMD:_9_km
Departures_from_Isand/EN Ahmedabad_Sardar_Patel_Airport/AMD:_7_km
Departures_from_Saij_Sertha_Road/SHRD Bhavnagar_Civil_Airport/BHU:_71_km
Departures_from_Chandkhera_Road/CDK Bhavnagar_Civil_Airport/BHU:_67_km
Departures_from_Kali_Road/KLRD Bhavnagar_Civil_Airport/BHU:_64_km
Departures_from_Sarangpur_Road/SAPR Bhavnagar_Civil_Airport/BHU:_68_km
Departures_from_Jalila_Road/JIL Bhavnagar_Civil_Airport/BHU:_77_km
Departures_from_Chandarwa/CDV Bhavnagar_Civil_Airport/BHU:_79_km
Departures_from_Bhimnath/BNH Bhavnagar_Civil_Airport/BHU:_86_km
Departures_from_Tagdi/TID Ahmedabad_Sardar_Patel_Airport/AMD:_83_km
Departures_from_Dhandhuka/DCK Ahmedabad_Sardar_Patel_Airport/AMD:_75_km
Departures_from_Rayaka/RY Ahmedabad_Sardar_Patel_Airport/AMD:_69_km
Departures_from_Hadala_Bhal/HLB Ahmedabad_Sardar_Patel_Airport/AMD:_62_km
Departures_from_Loliya/LO Ahmedabad_Sardar_Patel_Airport/AMD:_54_km
Departures_from_Lothal_Bhurkhi/LHBK Ahmedabad_Sardar_Patel_Airport/AMD:_45_km
Departures_from_Arnej/AEJ Ahmedabad_Sardar_Patel_Airport/AMD:_40_km
Departures_from_Koth_Gangad/KTGD Ahmedabad_Sardar_Patel_Airport/AMD:_26_km
