Departures_from_Matmari/MTU Bellary__Airport/BEP:_89_km
Departures_from_Kosgi/KO Bellary__Airport/BEP:_76_km
Departures_from_Kupgal/KGL Patna__Airport/PAT:_82_km
Departures_from_Muktapur/MKPR Patna__Airport/PAT:_88_km
Departures_from_Kishanpur/KSP Patna__Airport/PAT:_93_km
Departures_from_Rambhaddarpur/RBZ Patna__Airport/PAT:_104_km
Departures_from_Thalwara/TLWA Mumbai_Chhatrapati_Shivaji_International_Airport/BOM:_57_km
Departures_from_Saphale/SAH Gaya__Airport/GAY:_54_km
Departures_from_Islampur/IPR Patna__Airport/PAT:_46_km
Departures_from_Ekangarsarai/EKR Patna__Airport/PAT:_38_km
Departures_from_Hilsa/HIL Patna__Airport/PAT:_28_km
Departures_from_Daniyawan_Bazar_Halt/DNWH New_Delhi_Indira_Gandhi_International_Airport/DEL:_5_km
Departures_from_Bijwasan/BWSN Pune_Lohegaon_Airport/PNQ:_85_km
Departures_from_Veer/VEER Kolhapur__Airport/KLH:_83_km
