Departures_from_Stuartpuram/SPF Vijayawada__Airport/VGA:_89_km
Departures_from_Ipurupalem/IPPM Vijayawada__Airport/VGA:_92_km
Departures_from_Jandrapeta/JAQ Vijayawada__Airport/VGA:_99_km
Departures_from_Kotta_Pandilla_Palli/KPLL Vijayawada__Airport/VGA:_107_km
Departures_from_Kadavakuduru/KVDU Vijayawada__Airport/VGA:_112_km
Departures_from_Uppugunduru/UGD Vijayawada__Airport/VGA:_123_km
Departures_from_Karavadi/KRV Vijayawada__Airport/VGA:_138_km
Departures_from_Surareddipalem/SDM Vijayawada__Airport/VGA:_156_km
Departures_from_Ulavapadu/UPD Cuddapah__Airport/COH:_160_km
Departures_from_Tettu/TTU Cuddapah__Airport/COH:_152_km
Departures_from_Sri_Venkateswarapalem/SVPM Cuddapah__Airport/COH:_141_km
Departures_from_Kodavaluru/KJJ Tirupati__Airport/TIR:_120_km
Departures_from_Padugupadu/PGU Tirupati__Airport/TIR:_113_km
Departures_from_Venkatachalam/VKT Tirupati__Airport/TIR:_92_km
Departures_from_Kondagunta/KQA Tirupati__Airport/TIR:_59_km
Departures_from_Nidigallu/NDZ Tirupati__Airport/TIR:_44_km
Departures_from_Yataluru/YAL Tirupati__Airport/TIR:_32_km
Departures_from_Yellakaru/YLK Tirupati__Airport/TIR:_28_km
Departures_from_Yerpedu/YPD Tirupati__Airport/TIR:_7_km
