Departures_from_Khajurhat/KJA Allahabad_Bamrauli_Airport/IXD:_120_km
Departures_from_Kurebhar/KBE Allahabad_Bamrauli_Airport/IXD:_89_km
Departures_from_Piparpur/PPU Bhubaneswar__Airport/BBI:_49_km
Departures_from_Gorakhnath/GRKN Bhubaneswar__Airport/BBI:_77_km
Departures_from_Badabandha_Road/BDBA Bhubaneswar__Airport/BBI:_26_km
Departures_from_Mattagajpur/MTND Bhubaneswar__Airport/BBI:_32_km
Departures_from_Badakhandita/BDKT Bhubaneswar__Airport/BBI:_44_km
Departures_from_Banbihari_Gwalipur/BNHR Bhubaneswar__Airport/BBI:_54_km
Departures_from_Jhankad_Sarala_Road/JSRD Tuticorin__Airport/TCN:_33_km
Departures_from_Palayankottai/PCO Tuticorin__Airport/TCN:_24_km
Departures_from_Seydunganallur/SDNR Tuticorin__Airport/TCN:_20_km
Departures_from_Thathankulam/TTQ Tuticorin__Airport/TCN:_18_km
Departures_from_Srivaikuntam/SVV Tuticorin__Airport/TCN:_17_km
