Departures_from_Patsul/PTZ Akola__Airport/AKD:_36_km
Departures_from_Ugwe/UGWE Akola__Airport/AKD:_25_km
Departures_from_Kuram/KUM Akola__Airport/AKD:_59_km
Departures_from_Mana/MANA Akola__Airport/AKD:_45_km
Departures_from_Gaigaon/GAO Akola__Airport/AKD:_19_km
Departures_from_Biswa_Bridge/BIS Akola__Airport/AKD:_81_km
Departures_from_Khamkhed/KMKD Akola__Airport/AKD:_105_km
Departures_from_Achegaon/ACG Akola__Airport/AKD:_125_km
Departures_from_S_K_Nagjihari/NGZ Akola__Airport/AKD:_34_km
Departures_from_Katepurna/KTP Akola__Airport/AKD:_22_km
Departures_from_Khapri/KRI Nagpur_Sonegaon_Airport/NAG:_5_km
Departures_from_Gumgaon/GMG Nagpur_Sonegaon_Airport/NAG:_12_km
Departures_from_Buti_Bori/BTBR Nagpur_Sonegaon_Airport/NAG:_21_km
Departures_from_Borkhedi/BOK Nagpur_Sonegaon_Airport/NAG:_28_km
Departures_from_Seloo_Road/SLOR Nagpur_Sonegaon_Airport/NAG:_52_km
Departures_from_Mandura/MNDA Akola__Airport/AKD:_52_km
Departures_from_Yeulkhed/YAD Akola__Airport/AKD:_4_km
Departures_from_Kelzar/KEZ Nagpur_Sonegaon_Airport/NAG:_141_km
Departures_from_Sindewahi/SYE Nagpur_Sonegaon_Airport/NAG:_115_km
Departures_from_Alewahi/AWH Nagpur_Sonegaon_Airport/NAG:_113_km
Departures_from_Talodhi_Road/TUD Nagpur_Sonegaon_Airport/NAG:_106_km
