Departures_from_Kalianpur/KAP Kanpur__Airport/KNU:_14_km
Departures_from_Barrajpur/BJR Kanpur__Airport/KNU:_37_km
Departures_from_Bilhaur/BLU Kanpur__Airport/KNU:_56_km
Departures_from_Kannauj/KJN Kanpur__Airport/KNU:_82_km
Departures_from_GursahaiGanj/GHJ Kanpur__Airport/KNU:_103_km
Departures_from_KamalGanj/KLJ Bareilly__Airport/BEK:_126_km
Departures_from_Fatehgarh/FGR Bareilly__Airport/BEK:_118_km
Departures_from_Farrukhabad/FBD Bareilly__Airport/BEK:_116_km
Departures_from_Bhongaon/BGQ Agra_Kheria_Airport/AGR:_126_km
Departures_from_Mainpuri/MNQ Agra_Kheria_Airport/AGR:_112_km
Departures_from_Lahli/LHLL New_Delhi_Indira_Gandhi_International_Airport/DEL:_75_km
Departures_from_Kalanaur_Kalan/KLNK New_Delhi_Indira_Gandhi_International_Airport/DEL:_79_km
Departures_from_Kharak/KHRK New_Delhi_Indira_Gandhi_International_Airport/DEL:_87_km
Departures_from_Bamla/BMLL New_Delhi_Indira_Gandhi_International_Airport/DEL:_99_km
Departures_from_Bhiwani_City/BNWC New_Delhi_Indira_Gandhi_International_Airport/DEL:_102_km
Departures_from_Aluabari_Road/AUB Bagdogra__Airport/IXB:_50_km
