Departures_from_Chunar/CAR Varanasi_Babatpur_Airport/VNS:_44_km
Departures_from_Dagmagpur/DAP Varanasi_Babatpur_Airport/VNS:_51_km
Departures_from_Pahara/PRE Varanasi_Babatpur_Airport/VNS:_54_km
Departures_from_Jhingura/JHG Varanasi_Babatpur_Airport/VNS:_60_km
Departures_from_Vindhyachal/BDL Varanasi_Babatpur_Airport/VNS:_66_km
Departures_from_Birohe/BEO Allahabad_Bamrauli_Airport/IXD:_64_km
Departures_from_Gaipura/GAE Allahabad_Bamrauli_Airport/IXD:_51_km
Departures_from_Jigna/JIA Allahabad_Bamrauli_Airport/IXD:_45_km
Departures_from_Manda_Road/MNF Allahabad_Bamrauli_Airport/IXD:_34_km
Departures_from_Unchdih/UND Allahabad_Bamrauli_Airport/IXD:_24_km
Departures_from_Meja_Road/MJA Allahabad_Bamrauli_Airport/IXD:_14_km
Departures_from_Bheerpur/BEP Allahabad_Bamrauli_Airport/IXD:_17_km
Departures_from_Karchana/KCN Allahabad_Bamrauli_Airport/IXD:_22_km
Departures_from_Naini/NYN Allahabad_Bamrauli_Airport/IXD:_36_km
Departures_from_Phaphamau_Junction/PFM Allahabad_Bamrauli_Airport/IXD:_47_km
Departures_from_Siwaith/SWE Allahabad_Bamrauli_Airport/IXD:_57_km
Departures_from_Dayalpur/DLPR Allahabad_Bamrauli_Airport/IXD:_66_km
Departures_from_Mau_Aimma/MEM Allahabad_Bamrauli_Airport/IXD:_72_km
Departures_from_BishnathGanj/BTJ Allahabad_Bamrauli_Airport/IXD:_72_km
