Departures_from_Satuna/SCO Aurangabad_Chikalthan_Airport/IXU:_113_km
Departures_from_Usmanpur/UPR Aurangabad_Chikalthan_Airport/IXU:_105_km
Departures_from_Paradgaon/PDG Aurangabad_Chikalthan_Airport/IXU:_88_km
Departures_from_Ranjani/RNE Aurangabad_Chikalthan_Airport/IXU:_82_km
Departures_from_Kodi/KODI Aurangabad_Chikalthan_Airport/IXU:_71_km
Departures_from_Sarwari/SVD Aurangabad_Chikalthan_Airport/IXU:_61_km
Departures_from_Karmad/KMV Aurangabad_Chikalthan_Airport/IXU:_20_km
Departures_from_Chikalthan/CTH Aurangabad_Chikalthan_Airport/IXU:_15_km
Departures_from_Godamgura/GDQ Hyderabad_Begumpet_Airport/HYD:_63_km
Departures_from_Mailaram/MWY Hyderabad_Begumpet_Airport/HYD:_70_km
Departures_from_Dharur/DRR Hyderabad_Begumpet_Airport/HYD:_76_km
Departures_from_Rukmapur/RMY Hyderabad_Begumpet_Airport/HYD:_84_km
Departures_from_Mantatti/MVH Hyderabad_Begumpet_Airport/HYD:_103_km
Departures_from_Martur/MR Sholapur__Airport/SSE:_119_km
Departures_from_Hirenanduru/HQR Sholapur__Airport/SSE:_113_km
Departures_from_Sawalgi/SVG Sholapur__Airport/SSE:_93_km
Departures_from_Hunsihadgil/HHD Sholapur__Airport/SSE:_86_km
Departures_from_Kulali/KUI Sholapur__Airport/SSE:_68_km
