Departures_from_Bhogpur/BOP Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_49_km
Departures_from_Kolaghat/KIG Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_47_km
Departures_from_Deulti/DTE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_39_km
Departures_from_Kulgachia/KGY Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_32_km
Departures_from_Bir_Shibpur/BSBP Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_29_km
Departures_from_Chengel/CGA Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_28_km
Departures_from_Nalpur/NALR Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_24_km
Departures_from_Abada/ABB Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_22_km
Departures_from_Sankrail/SEL Bhubaneswar__Airport/BBI:_70_km
Departures_from_Andul/ADL Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_128_km
Departures_from_Maurigram/MRGM Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_124_km
Departures_from_New_Garh_Madhopur/NGMP Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_128_km
Departures_from_Narayangarh/NYA Bagdogra__Airport/IXB:_38_km
Departures_from_Benapur/BPE Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_18_km
Departures_from_Hijli/HIJ Ahmedabad_Sardar_Patel_Airport/AMD:_3_km
Departures_from_Oodlabari/ODB Ahmedabad_Sardar_Patel_Airport/AMD:_31_km
Departures_from_Ramrajatala/RMJ Ahmedabad_Sardar_Patel_Airport/AMD:_23_km
Departures_from_Naroda/NRD Ahmedabad_Sardar_Patel_Airport/AMD:_36_km
Departures_from_Dabhoda/DBO Ahmedabad_Sardar_Patel_Airport/AMD:_47_km
