Departures_from_Sondha_Road/SCN Gwalior__Airport/GWL:_18_km
Departures_from_Nonera/NNE Gwalior__Airport/GWL:_11_km
Departures_from_Rethorakalan/RAKL Gwalior__Airport/GWL:_5_km
Departures_from_Bhadroli/BBY Gwalior__Airport/GWL:_7_km
Departures_from_Birlanagar/BLNR Guna__Airport/GUX:_40_km
Departures_from_Bhulon/BLO Guna__Airport/GUX:_66_km
Departures_from_Salpura/SYL Guna__Airport/GUX:_76_km
Departures_from_Atru/ATRU Kota__Airport/KTU:_58_km
Departures_from_Bijora/BJK Kota__Airport/KTU:_33_km
Departures_from_Bhonra/BON Kota__Airport/KTU:_19_km
Departures_from_Digod/DXD Agra_Kheria_Airport/AGR:_4_km
Departures_from_Pathauli/PTLI Agra_Kheria_Airport/AGR:_10_km
Departures_from_Mirhakur/MIQ Agra_Kheria_Airport/AGR:_26_km
