Departures_from_Dhuri_Junction/DUI Ludhiana_Sahnewal_Airport/LUH:_57_km
Departures_from_Dibrugarh_Town/DBRT Dibrugarh__Airport/DIB:_12_km
Departures_from_Tinsukia_Junction/TSK Dibrugarh__Airport/DIB:_35_km
Departures_from_Simaluguri_Junction/SLGR Jorhat_Rowriah_Airport/JRH:_64_km
Departures_from_Mariani_Junction/MXN Jorhat_Rowriah_Airport/JRH:_17_km
Departures_from_Furkating_Junction/FKG Jorhat_Rowriah_Airport/JRH:_36_km
Departures_from_Dimapur/DMV Dimapur__Airport/DMU:_5_km
Departures_from_Diphu/DPU Dimapur__Airport/DMU:_35_km
Departures_from_Lumding_Junction/LMG Dimapur__Airport/DMU:_64_km
Departures_from_Hojai/HJI Tezpur__Airport/TEZ:_83_km
Departures_from_Chaparmukh_Junction/CPK Tezpur__Airport/TEZ:_66_km
Departures_from_Desari/DES Patna__Airport/PAT:_36_km
Departures_from_Chhapra_Junction/CPR Patna__Airport/PAT:_44_km
Departures_from_Ballia/BUI Patna__Airport/PAT:_101_km
Departures_from_Ghazipur_City/GCT Varanasi_Babatpur_Airport/VNS:_76_km
Departures_from_Faizabad_Junction/FD Lucknow_Amausi_Airport/LKO:_131_km
Departures_from_Kursela/KUE Bagdogra__Airport/IXB:_185_km
Departures_from_Thana_Bihpur_Junction/THB Dhanbad__Airport/DBD:_189_km
Departures_from_Mansi_Junction/MNE Patna__Airport/PAT:_155_km
Departures_from_Khudiram_B_Pusa/KRBP Patna__Airport/PAT:_72_km
Departures_from_Dholi/DOL Patna__Airport/PAT:_69_km
Departures_from_Hajipur_Junction/HJP Patna__Airport/PAT:_19_km
