Departures_from_Ratan_Shahr/RSH Jaipur_Sanganer_Airport/JAI:_143_km
Departures_from_Jhun_Jhunu/JJN Jaipur_Sanganer_Airport/JAI:_133_km
Departures_from_Nua/NUA Bikaner__Airport/BKB:_136_km
Departures_from_Dundlodh_Mukundgarh/DOB Bikaner__Airport/BKB:_131_km
Departures_from_Nawalgarh/NWH Bikaner__Airport/BKB:_124_km
Departures_from_Loha/LOHA Bikaner__Airport/BKB:_125_km
Departures_from_Parhihara/PIH Bikaner__Airport/BKB:_125_km
Departures_from_Talchhapar/TLC Bikaner__Airport/BKB:_122_km
Departures_from_Sujangarh/SUJH Bikaner__Airport/BKB:_131_km
Departures_from_Jaswantgarh/JSH Bikaner__Airport/BKB:_139_km
Departures_from_Ladnun/LAU Jaipur_Sanganer_Airport/JAI:_147_km
Departures_from_Balsamand/BLSD Jaipur_Sanganer_Airport/JAI:_146_km
Departures_from_Sanvrad/SVO Jaipur_Sanganer_Airport/JAI:_147_km
Departures_from_Didwana/DIA Jaipur_Sanganer_Airport/JAI:_148_km
Departures_from_Marwar_Balia/MBSK Bikaner__Airport/BKB:_150_km
Departures_from_Khunkhuna/KKNA Bikaner__Airport/BKB:_149_km
