Departures_from_Bilaspur_Junction/BSP Bilaspur__Airport/PAB:_10_km
Departures_from_Bhatapara/BYT Bilaspur__Airport/PAB:_35_km
Departures_from_Tilda/TLD Raipur__Airport/RPR:_44_km
Departures_from_Raipur_Junction/R Raipur__Airport/RPR:_15_km
Departures_from_Bhilai_Power_House/BPHB Raipur__Airport/RPR:_40_km
Departures_from_Durg_Junction/DURG Raipur__Airport/RPR:_49_km
Departures_from_Raj_Nandgaon/RJN Raipur__Airport/RPR:_77_km
Departures_from_Dongargarh/DGG Raipur__Airport/RPR:_108_km
Departures_from_Amgaon/AGN Nagpur_Sonegaon_Airport/NAG:_148_km
Departures_from_Gondia_Junction/G Nagpur_Sonegaon_Airport/NAG:_132_km
Departures_from_Tirora/TRO Nagpur_Sonegaon_Airport/NAG:_102_km
Departures_from_Tumsar_Road/TMR Nagpur_Sonegaon_Airport/NAG:_82_km
Departures_from_Bhandara_Road/BRD Nagpur_Sonegaon_Airport/NAG:_68_km
Departures_from_Kamptee/KP Nagpur_Sonegaon_Airport/NAG:_21_km
Departures_from_Ajni/AJNI Nagpur_Sonegaon_Airport/NAG:_6_km
Departures_from_Wardha_Junction/WR Nagpur_Sonegaon_Airport/NAG:_65_km
Departures_from_Pulgaon_Junction/PLO Nagpur_Sonegaon_Airport/NAG:_90_km
Departures_from_Dhamangaon/DMN Nagpur_Sonegaon_Airport/NAG:_105_km
Departures_from_Chandur/CND Akola__Airport/AKD:_102_km
