Departures_from_Ranala/RNL Nasik_Gandhi_Nagar_Airport/ISK:_158_km
Departures_from_Tisi/TISI Nasik_Gandhi_Nagar_Airport/ISK:_156_km
Departures_from_Khandbaara/KBH Surat__Airport/STV:_133_km
Departures_from_Chinchpada/CPD Surat__Airport/STV:_121_km
Departures_from_Ukai_Songadh/USD Surat__Airport/STV:_79_km
Departures_from_Chalthan/CHM Surat__Airport/STV:_13_km
Departures_from_Virdel_Road/VRD Vijayawada__Airport/VGA:_52_km
Departures_from_Nallapadu_Junction/NLPD Vijayawada__Airport/VGA:_57_km
Departures_from_Perecherla/PRCA Vijayawada__Airport/VGA:_72_km
Departures_from_Nudurupadu/NDPU Vijayawada__Airport/VGA:_82_km
Departures_from_Satulur/STUR Vijayawada__Airport/VGA:_121_km
Departures_from_Savalyapuram/SYM Cuddapah__Airport/COH:_162_km
Departures_from_Gajjelakonda/GJJ Cuddapah__Airport/COH:_126_km
Departures_from_Jaggambotla_Krishnapuram/JBK Cuddapah__Airport/COH:_114_km
Departures_from_Somidevipalle/SDV Cuddapah__Airport/COH:_110_km
Departures_from_Gudimetta/GMA Cuddapah__Airport/COH:_101_km
Departures_from_Krishnamsetty_Palle/KSTE Cuddapah__Airport/COH:_104_km
Departures_from_Diguvametta/DMT Cuddapah__Airport/COH:_108_km
Departures_from_Chelama/CMZ Cuddapah__Airport/COH:_109_km
Departures_from_Gazulapalli/GZL Cuddapah__Airport/COH:_126_km
Departures_from_Panyam/PNM Cuddapah__Airport/COH:_130_km
Departures_from_Krishnama_Kona/KEF Cuddapah__Airport/COH:_132_km
Departures_from_Rangapuram/RGM Bellary__Airport/BEP:_125_km
Departures_from_Malkapuram/MLK Bellary__Airport/BEP:_107_km
