Departures_from_Uppal/OPL Hyderabad_Begumpet_Airport/HYD:_161_km
Departures_from_Bisugir_Sharif/BGSF Hyderabad_Begumpet_Airport/HYD:_175_km
Departures_from_Potkapalli/PTKP Hyderabad_Begumpet_Airport/HYD:_181_km
Departures_from_Odela/OEA Hyderabad_Begumpet_Airport/HYD:_183_km
Departures_from_Kolanoor/KOLR Hyderabad_Begumpet_Airport/HYD:_184_km
Departures_from_Kottapally/KYOP Hyderabad_Begumpet_Airport/HYD:_187_km
Departures_from_Raghavapuram/RGPM Hyderabad_Begumpet_Airport/HYD:_197_km
Departures_from_Peddampet/PPZ Hyderabad_Begumpet_Airport/HYD:_214_km
Departures_from_Ravindrakhani/RVKH Hyderabad_Begumpet_Airport/HYD:_230_km
Departures_from_Mandamari/MMZ Hyderabad_Begumpet_Airport/HYD:_234_km
Departures_from_Asifabad_Road/ASAF Nagpur_Sonegaon_Airport/NAG:_217_km
Departures_from_Dina_Nagar/DNN Pathankot__Airport/IXP:_20_km
Departures_from_Gurdaspur/GSP Pathankot__Airport/IXP:_31_km
Departures_from_Dhariwal/DHW Pathankot__Airport/IXP:_46_km
Departures_from_Batala_Junction/BAT Amritsar_Raja_Sansi_Airport/ATQ:_42_km
Departures_from_Verka_Junction/VKA Amritsar_Raja_Sansi_Airport/ATQ:_14_km
Departures_from_Goneana/GNA Bhatinda__Airport/BUP:_16_km
Departures_from_Barnala/BNN Ludhiana_Sahnewal_Airport/LUH:_69_km
Departures_from_Tapa/TAPA Bhatinda__Airport/BUP:_62_km
Departures_from_Rampura_Phul/PUL Bhatinda__Airport/BUP:_48_km
Departures_from_Bhuchchu/BCU Bhatinda__Airport/BUP:_35_km
Departures_from_Kakinada_Town_Junction/CCT Rajahmundry__Airport/RJA:_49_km
