Departures_from_Chityala/CTYL Bagdogra__Airport/IXB:_122_km
Departures_from_Nagireddipalli/NRDP Bagdogra__Airport/IXB:_122_km
Departures_from_RaiGanj/RGJ Dehradun_Grant_Airport/DED:_61_km
Departures_from_Kaliyaganj/KAJ Dehradun_Grant_Airport/DED:_56_km
Departures_from_Radhikapur/RDP Dehradun_Grant_Airport/DED:_53_km
Departures_from_Baliakheri/BAE Bareilly__Airport/BEK:_17_km
Departures_from_Chodiala/CDL Bareilly__Airport/BEK:_6_km
Departures_from_Iqbalpur/IQB Allahabad_Bamrauli_Airport/IXD:_96_km
Departures_from_Bhitaura/BTO Khajuraho__Airport/HJR:_103_km
Departures_from_ClutterbuckGanj/CBJ Khajuraho__Airport/HJR:_100_km
Departures_from_Markundi/MKD Salem__Airport/SXV:_79_km
Departures_from_Tikaria/TKYR Ranchi__Airport/IXR:_120_km
Departures_from_Khutaha/KTHA Amritsar_Raja_Sansi_Airport/ATQ:_23_km
