Departures_from_Itaunja/IJ Lucknow_Amausi_Airport/LKO:_81_km
Departures_from_Ataria/AA Lucknow_Amausi_Airport/LKO:_107_km
Departures_from_Manwa/MANW Lucknow_Amausi_Airport/LKO:_124_km
Departures_from_Suraincha/SUIA Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_87_km
Departures_from_Barai_Jalalpur/BJLP Bareilly__Airport/BEK:_140_km
Departures_from_Jharekapur/JKP Bareilly__Airport/BEK:_134_km
Departures_from_Oel/OEL Bareilly__Airport/BEK:_124_km
Departures_from_Khirai/KHAI Bareilly__Airport/BEK:_120_km
Departures_from_Deokali/DEO Bareilly__Airport/BEK:_65_km
Departures_from_Pharadahan/PD Bareilly__Airport/BEK:_97_km
Departures_from_Razaganj/RZJ Bareilly__Airport/BEK:_81_km
Departures_from_Bahelia_Buzurg/BFV Bareilly__Airport/BEK:_74_km
Departures_from_Sandai/SNDY Bareilly__Airport/BEK:_68_km
Departures_from_Kasganj_City/KJC Bareilly__Airport/BEK:_53_km
Departures_from_Manpur_Nagaria/MPG Bareilly__Airport/BEK:_40_km
Departures_from_Kachhiaa/KCU Bareilly__Airport/BEK:_35_km
Departures_from_Bitrol/BTRI Bareilly__Airport/BEK:_29_km
Departures_from_Sheikhupur/SKW Bareilly__Airport/BEK:_22_km
Departures_from_Mallannagar/MQW Bareilly__Airport/BEK:_15_km
Departures_from_Ghatpuri/GTP Bareilly__Airport/BEK:_11_km
