Departures_from_Uppuguda/HPG Hyderabad_Begumpet_Airport/HYD:_11_km
Departures_from_NPA_Shivarampally_Halt/NSVP Hyderabad_Begumpet_Airport/HYD:_9_km
Departures_from_Budvel/BDVL Hyderabad_Begumpet_Airport/HYD:_43_km
Departures_from_Balanagar/BABR Hyderabad_Begumpet_Airport/HYD:_57_km
Departures_from_Gollapally/GLY Hyderabad_Begumpet_Airport/HYD:_69_km
Departures_from_Diviti_Palli/DTP Hyderabad_Begumpet_Airport/HYD:_52_km
Departures_from_Rajapur/RJAP Hyderabad_Begumpet_Airport/HYD:_47_km
Departures_from_Rangareddy_Guda/RRGA Bellary__Airport/BEP:_122_km
Departures_from_Bogolu/BVO Bellary__Airport/BEP:_127_km
Departures_from_Veldurti/VDI Bellary__Airport/BEP:_135_km
Departures_from_Ulindakonda/UKD Bellary__Airport/BEP:_144_km
Departures_from_Dupadu/DUU Bellary__Airport/BEP:_156_km
