Departures_from_Bauria_Junction/BVA Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_35_km
Departures_from_Phuleswar/FLR Kolkata_Netaji_S_C_Bose_International_Airport/CCU:_40_km
Departures_from_Piardoba/PBA Jamshedpur_Sonari_Airport/IXW:_125_km
Departures_from_Ramsagar/RSG Dhanbad__Airport/DBD:_124_km
Departures_from_Sirjam/SRJM Dhanbad__Airport/DBD:_66_km
Departures_from_Indrabil/IBL Dhanbad__Airport/DBD:_59_km
Departures_from_Metyal_Sahar_PH/MYX Dhanbad__Airport/DBD:_53_km
Departures_from_Sanka/SNKR Dhanbad__Airport/DBD:_41_km
Departures_from_Rukni/RUI Dhanbad__Airport/DBD:_36_km
Departures_from_Shewbabudih/SBW Dhanbad__Airport/DBD:_21_km
Departures_from_Talgaria/TLE Dhanbad__Airport/DBD:_21_km
Departures_from_Mahali_Marup/MMV Jamshedpur_Sonari_Airport/IXW:_32_km
Departures_from_Barabambo/BRM Jamshedpur_Sonari_Airport/IXW:_49_km
Departures_from_Lotapahar/LPH Jamshedpur_Sonari_Airport/IXW:_69_km
Departures_from_Tunia/TUX Jamshedpur_Sonari_Airport/IXW:_86_km
Departures_from_Derowan_P._Halt/DRWN Ranchi__Airport/IXR:_97_km
Departures_from_Posotia/PST Ranchi__Airport/IXR:_102_km
Departures_from_Bhalulata/BUL Ranchi__Airport/IXR:_126_km
Departures_from_Sonakhan/SXN Ranchi__Airport/IXR:_159_km
Departures_from_Sogra/SOGR Ranchi__Airport/IXR:_164_km
Departures_from_Tangarmunda/TGM Ranchi__Airport/IXR:_176_km
