Departures_from_Haldita_Bihar/HOD Dibrugarh__Airport/DIB:_9_km
Departures_from_Gogipothia_Halt/GPE Dibrugarh__Airport/DIB:_37_km
Departures_from_Dholbaja/DLZ Jorhat_Rowriah_Airport/JRH:_57_km
Departures_from_Dibrugarh/DBRG Rupsi__Airport/RUP:_85_km
Departures_from_Moranhat/MRHT Rupsi__Airport/RUP:_93_km
Departures_from_Sibsagar_Town/SRTN Guwahati_Borjhar_Airport/GAU:_94_km
Departures_from_Chaprakata/CPQ Guwahati_Borjhar_Airport/GAU:_70_km
Departures_from_Bijni/BJF Guwahati_Borjhar_Airport/GAU:_62_km
Departures_from_Patiladaha/PTLD Guwahati_Borjhar_Airport/GAU:_48_km
Departures_from_Sorupeta/SPQ Guwahati_Borjhar_Airport/GAU:_41_km
Departures_from_Pathsala/PBL Guwahati_Borjhar_Airport/GAU:_30_km
Departures_from_Kaithalkuchi/KTCH Guwahati_Borjhar_Airport/GAU:_21_km
Departures_from_Ghograpur/GOE Guwahati_Borjhar_Airport/GAU:_15_km
