Departures_from_Tambaram/TBM Chennai_Meenambakkam_Airport/MAA:_11_km
Departures_from_Chengalpattu_Junction/CGL Chennai_Meenambakkam_Airport/MAA:_42_km
Departures_from_Madurantakam/MMK Chennai_Meenambakkam_Airport/MAA:_66_km
Departures_from_Melmaruvattur/MLMR Chennai_Meenambakkam_Airport/MAA:_76_km
Departures_from_Tindivanam/TMV Chennai_Meenambakkam_Airport/MAA:_108_km
Departures_from_Villupuram_Junction/VM Chennai_Meenambakkam_Airport/MAA:_145_km
Departures_from_Vriddhachalam_Junction/VRI Tiruchirapalli__Airport/TRZ:_115_km
Departures_from_Tiruchchirappalli_Junction/TPJ Tiruchirapalli__Airport/TRZ:_5_km
Departures_from_Dindigul_Junction/DG Madurai__Airport/IXM:_62_km
Departures_from_Kodaikanal_Road/KQN Madurai__Airport/IXM:_45_km
Departures_from_Madurai_Junction/MDU Madurai__Airport/IXM:_10_km
Departures_from_Tirumangalam/TMQ Madurai__Airport/IXM:_12_km
Departures_from_Virudunagar_Junction/VPT Madurai__Airport/IXM:_32_km
Departures_from_Satur/SRT Madurai__Airport/IXM:_59_km
Departures_from_Kovilpatti/CVP Tuticorin__Airport/TCN:_56_km
Departures_from_Kadambur/KDU Tuticorin__Airport/TCN:_37_km
Departures_from_Vanchi_Maniyachchi_Junction/MEJ Tuticorin__Airport/TCN:_24_km
Departures_from_Tirunelveli_Junction/TEN Tuticorin__Airport/TCN:_37_km
Departures_from_Nanguneri/NNN Tuticorin__Airport/TCN:_50_km
Departures_from_Valliyur/VLY Tuticorin__Airport/TCN:_62_km
Departures_from_Aralvaymoli/AAY Trivandrum_International_Airport/TRV:_75_km
