Departures_from_Bommagundanakere/BOMN Hyderabad_Begumpet_Airport/HYD:_143_km
Departures_from_Balenahalli/BAHI Vijayawada__Airport/VGA:_139_km
Departures_from_Haliyuru/HLV Vijayawada__Airport/VGA:_129_km
Departures_from_Chikkandawadi/CKVD Vijayawada__Airport/VGA:_111_km
Departures_from_Mahbub_Nagar_Town_Halt/MHBT Vijayawada__Airport/VGA:_84_km
Departures_from_Macherla/MCLA Vijayawada__Airport/VGA:_67_km
Departures_from_Rentachintala/RCA Vijayawada__Airport/VGA:_59_km
Departures_from_Gurujalas/GZA Vijayawada__Airport/VGA:_56_km
Departures_from_Tummalacheruvu/TMLU Vijayawada__Airport/VGA:_52_km
Departures_from_Reddigudem/REM Vijayawada__Airport/VGA:_41_km
