Departures_from_Bhowra_Junction/BCB Bokaro__Airport/VEBK:_49_km
Departures_from_Tamna/TAO Jamshedpur_Sonari_Airport/IXW:_49_km
Departures_from_Kantadih/KTD Jamshedpur_Sonari_Airport/IXW:_41_km
Departures_from_Urma/URMA Jamshedpur_Sonari_Airport/IXW:_27_km
Departures_from_Biramdih/BRMD Jamshedpur_Sonari_Airport/IXW:_21_km
Departures_from_Nimdih/NIM Jamshedpur_Sonari_Airport/IXW:_17_km
Departures_from_Manikul/MIK Dhanbad__Airport/DBD:_55_km
Departures_from_Damodar_Junction/DMA Dhanbad__Airport/DBD:_53_km
Departures_from_Madhukunda/MDKD Dhanbad__Airport/DBD:_49_km
Departures_from_Muradi/MDF Dhanbad__Airport/DBD:_46_km
Departures_from_Ramkanali_Junction/RKI Dhanbad__Airport/DBD:_46_km
Departures_from_Bero/BERO Patna__Airport/PAT:_106_km
Departures_from_Sagarpali/SVI Gorakhpur__Airport/GOP:_105_km
Departures_from_Rajmalpur_Road/RJMP Gorakhpur__Airport/GOP:_94_km
