Departures_from_Pajian/PJA Amritsar_Raja_Sansi_Airport/ATQ:_72_km
Departures_from_Dudwindi/DDY Amritsar_Raja_Sansi_Airport/ATQ:_84_km
Departures_from_Gidarpindi/GOD Amritsar_Raja_Sansi_Airport/ATQ:_76_km
Departures_from_Mahalam/MFM Amritsar_Raja_Sansi_Airport/ATQ:_74_km
Departures_from_Jogiwala/JGW Amritsar_Raja_Sansi_Airport/ATQ:_78_km
Departures_from_Butewala/BWF Nagpur_Sonegaon_Airport/NAG:_40_km
Departures_from_Talli_Saidasahu/TSS Nagpur_Sonegaon_Airport/NAG:_76_km
Departures_from_Sonkhamb/SNKB Nagpur_Sonegaon_Airport/NAG:_94_km
Departures_from_Darimeta/DDMT Nagpur_Sonegaon_Airport/NAG:_104_km
Departures_from_Ghundankhapa/GDKP Nagpur_Sonegaon_Airport/NAG:_111_km
Departures_from_Chichonda/CCD Nagpur_Sonegaon_Airport/NAG:_160_km
Departures_from_Hatna_Pur/HTN Nagpur_Sonegaon_Airport/NAG:_21_km
Departures_from_Dharakhoh/DHQ Ludhiana_Sahnewal_Airport/LUH:_31_km
Departures_from_Kalmeshwar/KSWR Ludhiana_Sahnewal_Airport/LUH:_11_km
Departures_from_Bhatian/BTTN Bhopal__Airport/BHO:_125_km
Departures_from_Gill/GILL Jabalpur__Airport/JLR:_85_km
