Departures_from_Ullal/ULL Trivandrum_International_Airport/TRV:_70_km
Departures_from_Munroturuttu/MQO Trivandrum_International_Airport/TRV:_18_km
Departures_from_Murukkampuzha/MQU Salem__Airport/SXV:_42_km
Departures_from_Buddireddippati/BDY Vijayawada__Airport/VGA:_128_km
Departures_from_Pocharam/PCZ Vijayawada__Airport/VGA:_129_km
Departures_from_Karepalli/KRA Vijayawada__Airport/VGA:_121_km
Departures_from_Chima_Pahad/CMW Vijayawada__Airport/VGA:_121_km
Departures_from_Tadakalpudi/TPY Vijayawada__Airport/VGA:_121_km
Departures_from_Bethampurdi/BTPD Vijayawada__Airport/VGA:_7_km
Departures_from_Tarigoppula/TGU Patna__Airport/PAT:_82_km
Departures_from_Reoti/ROI Gorakhpur__Airport/GOP:_120_km
Departures_from_Chilkahar/CHR Gorakhpur__Airport/GOP:_100_km
Departures_from_Ratanpura/RTP Patna__Airport/PAT:_60_km
Departures_from_Manjhi/MHT Indore__Airport/IDR:_22_km
Departures_from_Mangliya_Gaon/MGG Indore__Airport/IDR:_26_km
Departures_from_Barlai/BLAX Indore__Airport/IDR:_44_km
Departures_from_Naranjipur/NRGR Indore__Airport/IDR:_47_km
Departures_from_Undasa_Madhopur/UDM Indore__Airport/IDR:_46_km
Departures_from_Karchha/KDHA Indore__Airport/IDR:_51_km
Departures_from_Vikram_Nagar/VRG Jabalpur__Airport/JLR:_47_km
